URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://interop.esante.gouv.fr/ig/fhir/ror/ValueSet/act-type-ror-valueset,0.2.1,active,,ActTypeRORValueSet,Valueset type d'acte,"Valueset type d'acte","StructureDefinition/ror-act-type","Internal"
https://mos.esante.gouv.fr/NOS/JDV_J188-TypeStatutCapacite-ROR/FHIR/JDV-J188-TypeStatutCapacite-ROR,1.1.0,active,"1.2.250.1.213.3.4.21",JDV_J188-TypeStatutCapacite-ROR,null,"Permet de préciser dans le ROR le statut des lits décrits","StructureDefinition/ror-location-supported-capacity","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J189-TemporaliteCapacite-ROR/FHIR/JDV-J189-TemporaliteCapacite-ROR,1.1.0,active,"1.2.250.1.213.3.4.22",JDV_J189-TemporaliteCapacite-ROR,null,"Sert à indiquer le moment où une capacité sera effective. Il est ainsi possible de décrire la situation immédiate ou de fournir une information prospective de capacités, prenant notamment en compte les entrées et sorties déjà identifiés de patients","StructureDefinition/ror-location-supported-capacity","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J19-ModePriseEnCharge-ROR/FHIR/JDV-J19-ModePriseEnCharge-ROR,1.1.0,active,"1.2.250.1.213.3.4.1",JDV_J19-ModePriseEnCharge-ROR,null,"Mode de la prise en charge - ROR","StructureDefinition/ror-healthcareservice","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J190-GenreCapacite-ROR/FHIR/JDV-J190-GenreCapacite-ROR,1.1.0,active,"1.2.250.1.213.3.4.23",JDV_J190-GenreCapacite-ROR,null,"Permet d'indiquer dans le ROR le genre des patients qui peuvent être installés dans des lits disponibles","StructureDefinition/ror-location-supported-capacity","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J191-TypeFermetureCapacite-ROR/FHIR/JDV-J191-TypeFermetureCapacite-ROR,1.1.0,active,"1.2.250.1.213.3.4.24",JDV_J191-TypeFermetureCapacite-ROR,null,"Permet d'indiquer dans le ROR le statut de lits fermés, afin d'identifier le nombre de lits fermés qui peuvent être réactivés en cas de besoin et le nombre de ceux qui ne peuvent pas l'être","StructureDefinition/ror-location-supported-capacity","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J192-TypeLitSupplementaire-ROR/FHIR/JDV-J192-TypeLitSupplementaire-ROR,1.1.0,active,"1.2.250.1.213.3.4.25",JDV_J192-TypeLitSupplementaire-ROR,null,"Permet d'indiquer dans le ROR le statut de lits supplémentaires, pour identifier le nombre de lits supplémentaires déjà mobilisés et, par typologie de mobilisation possible, le nombre de lits qui ne le sont pas encore","StructureDefinition/ror-location-supported-capacity","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J193-TypeSourceCapacite-ROR/FHIR/JDV-J193-TypeSourceCapacite-ROR,1.1.0,active,"1.2.250.1.213.3.4.26",JDV_J193-TypeSourceCapacite-ROR,null,"Permet d'indiquer dans le ROR quel type de source est à l'origine de l'information de capacité","StructureDefinition/ror-location-supported-capacity","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J194-TypeCrise-ROR/FHIR/JDV-J194-TypeCrise-ROR,1.1.0,active,"1.2.250.1.213.3.4.27",JDV_J194-TypeCrise-ROR,null,"Permet d'indiquer dans le ROR le type de crise qui permet de mobiliser le nombre de lits supplémentaires décrits","StructureDefinition/ror-location-supported-capacity","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J195-AffectationTemporaire-ROR/FHIR/JDV-J195-AffectationTemporaire-ROR,1.1.0,active,"1.2.250.1.213.3.4.28",JDV_J195-AffectationTemporaire-ROR,null,"Permet d'indiquer dans le ROR la réservation de tout ou partie des lits d'une zone d'hébergement pour des patients selon qu'ils soient -ou non- concernés par une pathologie (Covid+, Covid-, …) ou un évènement (catastrophe naturelle, attentat, …)","StructureDefinition/ror-location-supported-capacity","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J198-FonctionLieu-ROR/FHIR/JDV-J198-FonctionLieu-ROR,1.1.0,active,"1.2.250.1.213.3.4.30",JDV_J198-FonctionLieu-ROR,null,"Destination d'usage du lieu pour le lieu de réalisation de l'offre.","StructureDefinition/ror-location","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J199-StatutJuridique-ROR/FHIR/JDV-J199-StatutJuridique-ROR,1.1.0,active,"1.2.250.1.213.3.4.31",JDV_J199-StatutJuridique-ROR,null,"Statuts juridiques provenant de FINESS et RPPS","Questionnaire/ror-questionnaire-offre-de-ville,StructureDefinition/ror-organization","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J20-ChampActivite-ROR/FHIR/JDV-J20-ChampActivite-ROR,1.1.0,active,"1.2.250.1.213.3.4.7",JDV_J20-ChampActivite-ROR,null,"Champ d'activité - ROR","StructureDefinition/ror-healthcareservice","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J200-SousEnsembleAgregatStatutJuridique-ROR/FHIR/JDV-J200-SousEnsembleAgregatStatutJuridique-ROR,1.1.0,active,"1.2.250.1.213.3.4.32",JDV_J200-SousEnsembleAgregatStatutJuridique-ROR,null,"Agrégats de statuts juridiques FINESS niveau 2","Questionnaire/ror-questionnaire-offre-de-ville,StructureDefinition/ror-organization","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J201-TypeFermeture-ROR/FHIR/JDV-J201-TypeFermeture-ROR,1.1.0,active,"1.2.250.1.213.3.4.33",JDV_J201-TypeFermeture-ROR,null,"Type de fermeture, codes provenant du FINESS pour les EJ et EG","Questionnaire/ror-questionnaire-offre-de-ville,StructureDefinition/ror-organization-closing-type","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J202-ESPIC-ROR/FHIR/JDV-J202-ESPIC-ROR,1.1.0,active,"1.2.250.1.213.3.4.34",JDV_J202-ESPIC-ROR,null,"Etablissement de santé privé d'intérêt collectif","Questionnaire/ror-questionnaire-offre-de-ville,StructureDefinition/ror-organization","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J203-TypeOrganisationInterne-ROR/FHIR/JDV-J203-TypeOrganisationInterne-ROR,1.1.0,active,"1.2.250.1.213.3.4.35",JDV_J203-TypeOrganisationInterne-ROR,null,"Type Organisation interne ou d’organization (FHIR)","StructureDefinition/ror-organization","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J204-NiveauRecoursORSAN-ROR/FHIR/JDV-J204-NiveauRecoursORSAN-ROR,1.1.0,active,"1.2.250.1.213.3.4.36",JDV_J204-NiveauRecoursORSAN-ROR,null,"Hiérarchisation fonctionnelle des Éts pour accueil patients après le SAMU","StructureDefinition/ror-organization-level-recours-orsan","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J205-UnitePrix-ROR/FHIR/JDV-J205-UnitePrix-ROR,1.1.0,active,"1.2.250.1.213.3.4.37",JDV_J205-UnitePrix-ROR,null,"Unité de prix","StructureDefinition/ror-organization-price","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J206-PrestationNonObligatoireIncluse-ROR/FHIR/JDV-J206-PrestationNonObligatoireIncluse-ROR,1.1.0,active,"1.2.250.1.213.3.4.38",JDV_J206-PrestationNonObligatoireIncluse-ROR,null,"Prestations non obligatoire incluses","StructureDefinition/ror-organization-price","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J207-Civilite-ROR/FHIR/JDV-J207-Civilite-ROR,1.1.0,active,"1.2.250.1.213.3.4.39",JDV_J207-Civilite-ROR,null,"Civilité","Questionnaire/ror-questionnaire-offre-de-ville,StructureDefinition/ror-practitioner","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J208-CiviliteExercice-ROR/FHIR/JDV-J208-CiviliteExercice-ROR,1.1.0,active,"1.2.250.1.213.3.4.40",JDV_J208-CiviliteExercice-ROR,null,"Civilité d'exercice","Questionnaire/ror-questionnaire-offre-de-ville,StructureDefinition/RORPractitionerRoleName","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J209-TypeSavoirFaire-ROR/FHIR/JDV-J209-TypeSavoirFaire-ROR,1.1.0,active,"1.2.250.1.213.3.4.41",JDV_J209-TypeSavoirFaire-ROR,null,"Type de savoir-faire","Questionnaire/ror-questionnaire-offre-de-ville,StructureDefinition/ror-practitionerrole","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J210-SpecialiteOrdinale-ROR/FHIR/JDV-J210-SpecialiteOrdinale-ROR,1.1.0,active,"1.2.250.1.213.3.4.42",JDV_J210-SpecialiteOrdinale-ROR,null,"Spécialité ordinale","Questionnaire/ror-questionnaire-offre-de-ville,StructureDefinition/ror-practitionerrole","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J211-CompetenceExclusive-ROR/FHIR/JDV-J211-CompetenceExclusive-ROR,1.1.0,active,"1.2.250.1.213.3.4.43",JDV_J211-CompetenceExclusive-ROR,null,"Compétence exclusive","Questionnaire/ror-questionnaire-offre-de-ville,StructureDefinition/ror-practitionerrole","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J212-OrientationParticuliere-ROR/FHIR/JDV-J212-OrientationParticuliere-ROR,1.1.0,active,"1.2.250.1.213.3.4.44",JDV_J212-OrientationParticuliere-ROR,null,"Orientation particulière","Questionnaire/ror-questionnaire-offre-de-ville,StructureDefinition/ror-practitionerrole","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J213-CapaciteSavoirFaire-ROR/FHIR/JDV-J213-CapaciteSavoirFaire-ROR,1.1.0,active,"1.2.250.1.213.3.4.45",JDV_J213-CapaciteSavoirFaire-ROR,null,"Capacité (savoir-faire)","Questionnaire/ror-questionnaire-offre-de-ville,StructureDefinition/ror-practitionerrole","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J214-QualificationPAC-ROR/FHIR/JDV-J214-QualificationPAC-ROR,1.1.0,active,"1.2.250.1.213.3.4.46",JDV_J214-QualificationPAC-ROR,null,"Qualification de praticien adjoint contractuel","Questionnaire/ror-questionnaire-offre-de-ville,StructureDefinition/ror-practitionerrole","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J215-DESCnonQualifiant-ROR/FHIR/JDV-J215-DESCnonQualifiant-ROR,1.1.0,active,"1.2.250.1.213.3.4.47",JDV_J215-DESCnonQualifiant-ROR,null,"DESC non qualifiant","Questionnaire/ror-questionnaire-offre-de-ville,StructureDefinition/ror-practitionerrole","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J216-DroitExerciceCompl-ROR/FHIR/JDV-J216-DroitExerciceCompl-ROR,1.1.0,active,"1.2.250.1.213.3.4.48",JDV_J216-DroitExerciceCompl-ROR,null,"Droit d'exercice complémentaire","Questionnaire/ror-questionnaire-offre-de-ville,StructureDefinition/ror-practitionerrole","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J217-ModeExercice-ROR/FHIR/JDV-J217-ModeExercice-ROR,1.1.0,active,"1.2.250.1.213.3.4.49",JDV_J217-ModeExercice-ROR,null,"Mode d'exercice","StructureDefinition/ror-practitionerrole-unit-exercise-mode,Questionnaire/ror-questionnaire-offre-de-ville","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J218-CNAMAmeliSecteurConventionnement-ROR/FHIR/JDV-J218-CNAMAmeliSecteurConventionnement-ROR,1.1.0,active,"1.2.250.1.213.3.4.50",JDV_J218-CNAMAmeliSecteurConventionnement-ROR,null,"Secteur de conventionnement du professionnel libéral par la CNAM extracts ameli","StructureDefinition/ror-practitionerrole","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J219-TypeVoie-ROR/FHIR/JDV-J219-TypeVoie-ROR,1.1.0,active,"1.2.250.1.213.3.4.51",JDV_J219-TypeVoie-ROR,null,"Type de voie","StructureDefinition/ror-location,StructureDefinition/ror-organization","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J220-FonctionContact-ROR/FHIR/JDV-J220-FonctionContact-ROR,1.1.0,active,"1.2.250.1.213.3.4.52",JDV_J220-FonctionContact-ROR,null,"Un titre, une position, une fonction de la personne contact dans l'organisation","StructureDefinition/ror-contact-function-contact","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J221-NatureContact-ROR/FHIR/JDV-J221-NatureContact-ROR,1.1.0,active,"1.2.250.1.213.3.4.53",JDV_J221-NatureContact-ROR,null,"Un service ou un guichet assurant le contact au sein de l'organisation","StructureDefinition/ror-organization,StructureDefinition/ror-healthcareservice-contact","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J222-NiveauConfidentialite-ROR/FHIR/JDV-J222-NiveauConfidentialite-ROR,1.1.0,active,"1.2.250.1.213.3.4.54",JDV_J222-NiveauConfidentialite-ROR,null,"Niveau de restriction d'accès","StructureDefinition/ror-telecom-confidentiality-level,StructureDefinition/ror-contact-telecom-confidentiality-level,StructureDefinition/ror-confidentiality-level,StructureDefinition/ror-contact-confidentiality-level","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J223-TypeDivisionTerritoriale-ROR/FHIR/JDV-J223-TypeDivisionTerritoriale-ROR,1.1.0,active,"1.2.250.1.213.3.4.55",JDV_J223-TypeDivisionTerritoriale-ROR,null,"Type de division territoriale","StructureDefinition/ror-territorial-division","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J224-StatutLieu-ROR/FHIR/JDV-J224-StatutLieu-ROR,1.1.0,active,"1.2.250.1.213.3.4.56",JDV_J224-StatutLieu-ROR,null,"Statut lieu","StructureDefinition/ror-location-status","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J225-CanalCommunication-ROR/FHIR/JDV-J225-CanalCommunication-ROR,1.1.0,active,"1.2.250.1.213.3.4.57",JDV_J225-CanalCommunication-ROR,null,"Canal de communication","StructureDefinition/ror-telecom-communication-channel","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J226-ModaliteAccueil-ROR/FHIR/JDV-J226-ModaliteAccueil-ROR,1.1.0,active,"1.2.250.1.213.3.4.58",JDV_J226-ModaliteAccueil-ROR,null,"Modalité d'accueil","StructureDefinition/ror-healthcareservice","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J227-NiveauExpertise-ROR/FHIR/JDV-J227-NiveauExpertise-ROR,1.1.0,active,"1.2.250.1.213.3.4.59",JDV_J227-NiveauExpertise-ROR,null,"Niveau de ressources humaines et matérielles utiles pour la réalisation de l'offre","Questionnaire/ror-questionnaire-offre-de-ville,StructureDefinition/ror-healthcareservice","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J228-TypeCaracteristiqueEquipement-ROR/FHIR/JDV-J228-TypeCaracteristiqueEquipement-ROR,1.1.0,active,"1.2.250.1.213.3.4.60",JDV_J228-TypeCaracteristiqueEquipement-ROR,null,"Type de caractéristique équipement","Questionnaire/ror-questionnaire-offre-de-ville,StructureDefinition/ror-location-equipment-limit","Other"
https://mos.esante.gouv.fr/NOS/JDV_J229-ProfessionSante-ROR/FHIR/JDV-J229-ProfessionSante-ROR,1.1.0,active,"1.2.250.1.213.3.4.61",JDV_J229-ProfessionSante-ROR,null,"Type de caractéristique équipement","Questionnaire/ror-questionnaire-offre-de-ville,StructureDefinition/ror-practitionerrole","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J232-Competence-ROR/FHIR/JDV-J232-Competence-ROR,1.1.0,active,"1.2.250.1.213.3.4.63",JDV_J232-Competence-ROR,null,"Compétence","Questionnaire/ror-questionnaire-offre-de-ville,StructureDefinition/ror-practitionerrole","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J241-ThematiqueAnomalie-ROR/FHIR/JDV-J241-ThematiqueAnomalie-ROR,1.1.0,active,"1.2.250.1.213.3.4.106",JDV_J241-ThematiqueAnomalie-ROR,null,"Thématique caractérisant une anomalie de donnée ROR","StructureDefinition/ror-task","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J242-ActionAnomalie-ROR/FHIR/JDV-J242-ActionAnomalie-ROR,1.1.0,active,"1.2.250.1.213.3.4.107",JDV_J242-ActionAnomalie-ROR,null,"Action attendue dans le cadre de la gestion d'une anomalie de donnée dans le ROR","StructureDefinition/ror-task","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J244-StatutMetierAnomalie-ROR/FHIR/JDV-J244-StatutMetierAnomalie-ROR,1.1.0,active,"1.2.250.1.213.3.4.109",JDV_J244-StatutMetierAnomalie-ROR,null,"Statut métier des anomalies","StructureDefinition/ror-task","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J247-Pays-ROR/FHIR/JDV-J247-Pays-ROR,1.1.0,active,"1.2.250.1.213.3.4.111",JDV_J247-Pays-ROR,null,"Référentiel des codes pays provenant du COG INSEE - ROR","ValueSet/code-region-territorial-division-ror-valueset","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J248-DepartementOM-ROR/FHIR/JDV-J248-DepartementOM-ROR,1.1.0,active,"1.2.250.1.213.3.4.112",JDV_J248-DepartementOM-ROR,null,"Département (outre-mer et Monaco inclus) - ROR","ValueSet/code-region-territorial-division-ror-valueset","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J249-TerritoireSante-ROR/FHIR/JDV-J249-TerritoireSante-ROR,1.1.0,active,"1.2.250.1.213.3.4.113",JDV_J249-TerritoireSante-ROR,null,"Territoire de Santé (au sens ARS) en France - ROR","ValueSet/code-region-territorial-division-ror-valueset","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J26-ModeGestion-ROR/FHIR/JDV-J26-ModeGestion-ROR,1.1.0,active,"1.2.250.1.213.3.3.24",JDV_J26-ModeGestion-ROR,null,"Mode gestion - ROR","StructureDefinition/ror-organization-price,StructureDefinition/ror-healthcareservice","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J27-GroupeTarifaireDependance-ROR/FHIR/JDV-J27-GroupeTarifaireDependance-ROR,1.1.0,active,"1.2.250.1.213.3.3.26",JDV_J27-GroupeTarifaireDependance-ROR,null,"Niveau de dépendance associé à un tarif d'un ESMS - ROR","StructureDefinition/ror-organization-price","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J28-OuvertureAnnuelle-ROR/FHIR/JDV-J28-OuvertureAnnuelle-ROR,1.1.0,active,"1.2.250.1.213.3.3.28",JDV_J28-OuvertureAnnuelle-ROR,null,"Ouverture annuelle - ROR","StructureDefinition/ror-healthcareservice","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J29-PublicPrisEnCharge-ROR/FHIR/JDV-J29-PublicPrisEnCharge-ROR,1.1.0,active,"1.2.250.1.213.3.3.30",JDV_J29-PublicPrisEnCharge-ROR,null,"Public pris en charge - ROR","StructureDefinition/ror-healthcareservice-patient-type","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J30-TemporaliteAccueil-ROR/FHIR/JDV-J30-TemporaliteAccueil-ROR,1.1.0,active,"1.2.250.1.213.3.3.32",JDV_J30-TemporaliteAccueil-ROR,null,"Temporalité accueil - ROR","StructureDefinition/ror-organization-price,StructureDefinition/ror-healthcareservice","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J31-AideFinanciere-ROR/FHIR/JDV-J31-AideFinanciere-ROR,1.1.0,active,"1.2.250.1.213.3.3.34",JDV_J31-AideFinanciere-ROR,null,"Jeu de valeur de la nomenclature des aides financières - ROR","StructureDefinition/ror-organization-financial-help-type","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J32-TypeHabitation-ROR/FHIR/JDV-J32-TypeHabitation-ROR,1.1.0,active,"1.2.250.1.213.3.3.36",JDV_J32-TypeHabitation-ROR,null,"Type habitation - ROR","StructureDefinition/ror-organization-price,StructureDefinition/ror-location-residential-capacity","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J33-CompetenceSpecifique-ROR/FHIR/JDV-J33-CompetenceSpecifique-ROR,1.1.0,active,"1.2.250.1.213.3.3.38",JDV_J33-CompetenceSpecifique-ROR,null,"Compétence spécifique - ROR","Questionnaire/ror-questionnaire-offre-de-ville,StructureDefinition/ror-practitionerrole,StructureDefinition/ror-healthcareservice","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J35-SpecialisationDePriseEnCharge-ROR/FHIR/JDV-J35-SpecialisationDePriseEnCharge-ROR,1.1.0,active,"1.2.250.1.213.3.3.42",JDV_J35-SpecialisationDePriseEnCharge-ROR,null,"Spécialisation de prise en charge - ROR","StructureDefinition/ror-healthcareservice","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J36-TypeTarif-ROR/FHIR/JDV-J36-TypeTarif-ROR,1.1.0,active,"1.2.250.1.213.3.3.44",JDV_J36-TypeTarif-ROR,null,"Type tarif - ROR","StructureDefinition/ror-organization-price","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J39-ConditionTarifaire-ROR/FHIR/JDV-J39-ConditionTarifaire-ROR,1.1.0,active,"1.2.250.1.213.3.3.47",JDV_J39-ConditionTarifaire-ROR,null,"Conditions d'accès à un tarif modulé","StructureDefinition/ror-organization-price","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J41-TypeHoraire-ROR/FHIR/JDV-J41-TypeHoraire-ROR,1.1.0,active,"1.2.250.1.213.3.3.51",JDV_J41-TypeHoraire-ROR,null,"Type horaire","StructureDefinition/ror-available-time-type-of-time,Questionnaire/ror-questionnaire-offre-de-ville","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J50-AccessibiliteLieu-ROR/FHIR/JDV-J50-AccessibiliteLieu-ROR,1.1.0,active,"1.2.250.1.213.3.3.58",JDV_J50-AccessibiliteLieu-ROR,null,"Niveaux d'accessibilité d'un établissement recevant du public (ERP) - ROR","StructureDefinition/ror-organization-accessibility-location","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J51-FamilleActiviteOperationnelle-ROR/FHIR/JDV-J51-FamilleActiviteOperationnelle-ROR,1.1.0,active,"1.2.250.1.213.3.3.62",JDV_J51-FamilleActiviteOperationnelle-ROR,null,"Famille Activité Opérationnelle","StructureDefinition/ror-healthcareservice","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J55-CategorieEG-ROR/FHIR/JDV-J55-CategorieEG-ROR,1.1.0,active,"1.2.250.1.213.3.3.65",JDV_J55-CategorieEG-ROR,null,"Catégories d'établissements FINESS ou hors FINESS et secteurs d'activité des cabinets","StructureDefinition/ror-questionnaire,Questionnaire/ror-questionnaire-offre-de-ville,StructureDefinition/ror-organization","ans.fr.nos"
